name,value,year,lastValue,rank
Beşiktaş,2,1959,2,1
Fenerbahçe,1,1959,NA,2
Galatasaray,NA,1959,NA,3
Beşiktaş,3,1959-60,2,1
Fenerbahçe,1,1959-60,1,2
Galatasaray,NA,1959-60,NA,3
Beşiktaş,3,1960-61,3,1
Fenerbahçe,2,1960-61,1,2
Galatasaray,NA,1960-61,NA,3
Beşiktaş,3,1961-62,3,1
Fenerbahçe,2,1961-62,2,2
Galatasaray,1,1961-62,NA,3
Beşiktaş,3,1962-63,3,1
Fenerbahçe,2,1962-63,2,2
Galatasaray,2,1962-63,1,3
Beşiktaş,3,1963-64,3,1
Fenerbahçe,3,1963-64,2,2
Galatasaray,2,1963-64,2,3
Beşiktaş,3,1964-65,3,1
Fenerbahçe,4,1964-65,3,2
Galatasaray,2,1964-65,2,3
Beşiktaş,4,1965-66,3,1
Fenerbahçe,4,1965-66,4,2
Galatasaray,2,1965-66,2,3
Beşiktaş,5,1966-67,4,1
Fenerbahçe,4,1966-67,4,2
Galatasaray,2,1966-67,2,3
Beşiktaş,5,1967-68,5,1
Fenerbahçe,5,1967-68,4,2
Galatasaray,2,1967-68,2,3
Beşiktaş,5,1968-69,5,1
Fenerbahçe,5,1968-69,5,2
Galatasaray,3,1968-69,2,3
Beşiktaş,5,1969-70,5,1
Fenerbahçe,6,1969-70,5,2
Galatasaray,3,1969-70,3,3
Beşiktaş,5,1970-71,5,1
Fenerbahçe,6,1970-71,6,2
Galatasaray,4,1970-71,3,3
Beşiktaş,5,1971-72,5,1
Fenerbahçe,6,1971-72,6,2
Galatasaray,5,1971-72,4,3
Beşiktaş,5,1972-73,5,3
Fenerbahçe,6,1972-73,6,1
Galatasaray,6,1972-73,5,2
Beşiktaş,5,1973-74,5,3
Fenerbahçe,7,1973-74,6,1
Galatasaray,6,1973-74,6,2
Beşiktaş,5,1974-75,5,3
Fenerbahçe,8,1974-75,7,1
Galatasaray,6,1974-75,6,2
Beşiktaş,5,1975-76,5,3
Fenerbahçe,8,1975-76,8,1
Galatasaray,6,1975-76,6,2
Trabzonspor,1,1975-76,NA,4
Beşiktaş,5,1976-77,5,3
Fenerbahçe,8,1976-77,8,1
Galatasaray,6,1976-77,6,2
Trabzonspor,2,1976-77,1,4
Beşiktaş,5,1977-78,5,3
Fenerbahçe,9,1977-78,8,1
Galatasaray,6,1977-78,6,2
Trabzonspor,2,1977-78,2,4
Beşiktaş,5,1978-79,5,3
Fenerbahçe,9,1978-79,9,1
Galatasaray,6,1978-79,6,2
Trabzonspor,3,1978-79,2,4
Beşiktaş,5,1979-80,5,3
Fenerbahçe,9,1979-80,9,1
Galatasaray,6,1979-80,6,2
Trabzonspor,4,1979-80,3,4
Beşiktaş,5,1980-81,5,3
Fenerbahçe,9,1980-81,9,1
Galatasaray,6,1980-81,6,2
Trabzonspor,5,1980-81,4,4
Beşiktaş,6,1981-82,5,2
Fenerbahçe,9,1981-82,9,1
Galatasaray,6,1981-82,6,3
Trabzonspor,5,1981-82,5,4
Beşiktaş,6,1982-83,6,2
Fenerbahçe,10,1982-83,9,1
Galatasaray,6,1982-83,6,3
Trabzonspor,5,1982-83,5,4
Beşiktaş,6,1983-84,6,2
Fenerbahçe,10,1983-84,10,1
Galatasaray,6,1983-84,6,3
Trabzonspor,6,1983-84,5,4
Beşiktaş,6,1984-85,6,2
Fenerbahçe,11,1984-85,10,1
Galatasaray,6,1984-85,6,3
Trabzonspor,6,1984-85,6,4
Beşiktaş,7,1985-86,6,2
Fenerbahçe,11,1985-86,11,1
Galatasaray,6,1985-86,6,3
Trabzonspor,6,1985-86,6,4
Beşiktaş,7,1986-87,7,2
Fenerbahçe,11,1986-87,11,1
Galatasaray,7,1986-87,6,3
Trabzonspor,6,1986-87,6,4
Beşiktaş,7,1987-88,7,3
Fenerbahçe,11,1987-88,11,1
Galatasaray,8,1987-88,7,2
Trabzonspor,6,1987-88,6,4
Beşiktaş,7,1988-89,7,3
Fenerbahçe,12,1988-89,11,1
Galatasaray,8,1988-89,8,2
Trabzonspor,6,1988-89,6,4
Beşiktaş,8,1989-90,7,2
Fenerbahçe,12,1989-90,12,1
Galatasaray,8,1989-90,8,3
Trabzonspor,6,1989-90,6,4
Beşiktaş,9,1990-91,8,2
Fenerbahçe,12,1990-91,12,1
Galatasaray,8,1990-91,8,3
Trabzonspor,6,1990-91,6,4
Beşiktaş,10,1991-92,9,2
Fenerbahçe,12,1991-92,12,1
Galatasaray,8,1991-92,8,3
Trabzonspor,6,1991-92,6,4
Beşiktaş,10,1992-93,10,2
Fenerbahçe,12,1992-93,12,1
Galatasaray,9,1992-93,8,3
Trabzonspor,6,1992-93,6,4
Beşiktaş,10,1993-94,10,2
Fenerbahçe,12,1993-94,12,1
Galatasaray,10,1993-94,9,3
Trabzonspor,6,1993-94,6,4
Beşiktaş,11,1994-95,10,2
Fenerbahçe,12,1994-95,12,1
Galatasaray,10,1994-95,10,3
Trabzonspor,6,1994-95,6,4
Beşiktaş,11,1995-96,11,2
Fenerbahçe,13,1995-96,12,1
Galatasaray,10,1995-96,10,3
Trabzonspor,6,1995-96,6,4
Beşiktaş,11,1996-97,11,2
Fenerbahçe,13,1996-97,13,1
Galatasaray,11,1996-97,10,3
Trabzonspor,6,1996-97,6,4
Beşiktaş,11,1997-98,11,3
Fenerbahçe,13,1997-98,13,1
Galatasaray,12,1997-98,11,2
Trabzonspor,6,1997-98,6,4
Beşiktaş,11,1998-99,11,3
Fenerbahçe,13,1998-99,13,1
Galatasaray,13,1998-99,12,2
Trabzonspor,6,1998-99,6,4
Beşiktaş,11,1999-2000,11,3
Fenerbahçe,13,1999-2000,13,2
Galatasaray,14,1999-2000,13,1
Trabzonspor,6,1999-2000,6,4
Beşiktaş,11,2000-01,11,3
Fenerbahçe,14,2000-01,13,1
Galatasaray,14,2000-01,14,2
Trabzonspor,6,2000-01,6,4
Beşiktaş,11,2001-02,11,3
Fenerbahçe,14,2001-02,14,2
Galatasaray,15,2001-02,14,1
Trabzonspor,6,2001-02,6,4
Beşiktaş,12,2002-03,11,3
Fenerbahçe,14,2002-03,14,2
Galatasaray,15,2002-03,15,1
Trabzonspor,6,2002-03,6,4
Beşiktaş,12,2003-04,12,3
Fenerbahçe,15,2003-04,14,1
Galatasaray,15,2003-04,15,2
Trabzonspor,6,2003-04,6,4
Beşiktaş,12,2004-05,12,3
Fenerbahçe,16,2004-05,15,1
Galatasaray,15,2004-05,15,2
Trabzonspor,6,2004-05,6,4
Beşiktaş,12,2005-06,12,3
Fenerbahçe,16,2005-06,15,1
Galatasaray,16,2005-06,15,2
Trabzonspor,6,2005-06,6,4
Beşiktaş,12,2006-07,12,3
Fenerbahçe,17,2006-07,16,1
Galatasaray,16,2006-07,16,2
Trabzonspor,6,2006-07,6,4
Beşiktaş,12,2007-08,12,3
Fenerbahçe,17,2007-08,17,1
Galatasaray,17,2007-08,16,2
Trabzonspor,6,2007-08,6,4
Beşiktaş,13,2008-09,12,3
Fenerbahçe,17,2008-09,17,1
Galatasaray,17,2008-09,17,2
Trabzonspor,6,2008-09,6,4
Beşiktaş,13,2009-10,13,3
Fenerbahçe,17,2009-10,17,1
Galatasaray,17,2009-10,17,2
Trabzonspor,6,2009-10,6,4
Bursaspor,1,2009-10,NA,5
Beşiktaş,13,2010-11,13,3
Fenerbahçe,18,2010-11,17,1
Galatasaray,17,2010-11,17,2
Trabzonspor,6,2010-11,6,4
Bursaspor,1,2010-11,1,5
Beşiktaş,13,2011-12,13,3
Fenerbahçe,18,2011-12,18,1
Galatasaray,18,2011-12,17,2
Trabzonspor,6,2011-12,6,4
Bursaspor,1,2011-12,1,5
Beşiktaş,13,2012-13,13,3
Fenerbahçe,18,2012-13,18,2
Galatasaray,19,2012-13,18,1
Trabzonspor,6,2012-13,6,4
Bursaspor,1,2012-13,1,5
Beşiktaş,13,2013-14,13,3
Fenerbahçe,19,2013-14,18,1
Galatasaray,19,2013-14,19,2
Trabzonspor,6,2013-14,6,4
Bursaspor,1,2013-14,1,5
Beşiktaş,13,2014-15,13,3
Fenerbahçe,19,2014-15,19,2
Galatasaray,20,2014-15,19,1
Trabzonspor,6,2014-15,6,4
Bursaspor,1,2014-15,1,5
Beşiktaş,14,2015-16,13,3
Fenerbahçe,19,2015-16,19,2
Galatasaray,20,2015-16,20,1
Trabzonspor,6,2015-16,6,4
Bursaspor,1,2015-16,1,5
Beşiktaş,15,2016-17,14,3
Fenerbahçe,19,2016-17,19,2
Galatasaray,20,2016-17,20,1
Trabzonspor,6,2016-17,6,4
Bursaspor,1,2016-17,1,5
Beşiktaş,15,2017-18,15,3
Fenerbahçe,19,2017-18,19,2
Galatasaray,21,2017-18,20,1
Trabzonspor,6,2017-18,6,4
Bursaspor,1,2017-18,1,5
Beşiktaş,15,2018-19,15,3
Fenerbahçe,19,2018-19,19,2
Galatasaray,22,2018-19,21,1
Trabzonspor,6,2018-19,6,4
Bursaspor,1,2018-19,1,5
